# of contigs: 5363
max contig length: 7451
mean contig length: 334.6054447137796
genome length: 1794489
This is the mean kmer depth of coverage: 37.06373070911821
This is the mean depth of coverage: 56.335248181608335
N50: 797
# Contig length	Number of contigs in this category
0 	 2063
100 	 1524
200 	 439
300 	 265
400 	 176
500 	 142
600 	 108
700 	 96
800 	 89
900 	 66
1000 	 45
1100 	 39
1200 	 36
1300 	 30
1400 	 26
1500 	 30
1600 	 17
1700 	 18
1800 	 11
1900 	 15
2000 	 7
2100 	 12
2200 	 15
2300 	 6
2400 	 10
2500 	 13
2600 	 8
2700 	 3
2800 	 5
2900 	 1
3000 	 2
3100 	 6
3200 	 6
3300 	 4
3400 	 2
3500 	 1
3600 	 4
3700 	 1
3800 	 2
3900 	 2
4000 	 2
4100 	 2
4200 	 3
4400 	 2
4700 	 2
5200 	 2
5600 	 1
5800 	 2
7100 	 1
7400 	 1
	Command being timed: "python3 /projects/bgmp/sseale/projects/ps6/ps6.py"
	User time (seconds): 0.13
	System time (seconds): 0.01
	Percent of CPU this job got: 87%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.16
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 9704
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 2121
	Voluntary context switches: 75
	Involuntary context switches: 0
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
