# of contigs: 418
max contig length: 7268
mean contig length: 954.5047846889952
genome length: 398983
This is the mean kmer depth of coverage: 124.29539855263161
This is the mean depth of coverage: 165.74164427756617
N50: 2044
# Contig length	Number of contigs in this category
0 	 23
100 	 91
200 	 42
300 	 32
400 	 31
500 	 20
600 	 15
700 	 15
800 	 16
900 	 7
1000 	 7
1100 	 9
1200 	 13
1300 	 6
1400 	 8
1500 	 4
1600 	 4
1700 	 7
1800 	 6
1900 	 2
2000 	 2
2100 	 9
2200 	 1
2300 	 3
2400 	 3
2500 	 4
2600 	 2
2700 	 1
2800 	 4
2900 	 2
3100 	 2
3200 	 3
3300 	 2
3400 	 2
3500 	 1
3600 	 2
3800 	 1
3900 	 1
4100 	 1
4200 	 2
4300 	 1
4400 	 2
4500 	 1
4700 	 1
4800 	 1
5200 	 1
5400 	 1
6200 	 1
6300 	 1
7100 	 1
7200 	 1
	Command being timed: "python3 /projects/bgmp/sseale/projects/ps6/ps6.py"
	User time (seconds): 0.05
	System time (seconds): 0.01
	Percent of CPU this job got: 82%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.08
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 8640
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1823
	Voluntary context switches: 77
	Involuntary context switches: 0
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
