# of contigs: 1223
max contig length: 10467
mean contig length: 914.6116107931316
genome length: 1118570
This is the mean kmer depth of coverage: 62.914346233851184
This is the mean depth of coverage: 81.21345189334056
N50: 1818
# Contig length	Number of contigs in this category
0 	 62
100 	 240
200 	 167
300 	 96
400 	 82
500 	 55
600 	 38
700 	 38
800 	 39
900 	 33
1000 	 24
1100 	 27
1200 	 27
1300 	 33
1400 	 25
1500 	 17
1600 	 13
1700 	 18
1800 	 17
1900 	 20
2000 	 10
2100 	 19
2200 	 3
2300 	 11
2400 	 8
2500 	 9
2600 	 5
2700 	 6
2800 	 8
2900 	 7
3000 	 4
3100 	 6
3200 	 4
3300 	 4
3400 	 4
3500 	 3
3600 	 4
3800 	 1
3900 	 4
4000 	 2
4100 	 1
4200 	 1
4300 	 3
4400 	 4
4500 	 3
4700 	 2
4800 	 2
5000 	 1
5100 	 1
5200 	 2
5400 	 2
5900 	 1
6200 	 1
6300 	 1
7200 	 1
7600 	 1
7900 	 1
8700 	 1
10400 	 1
	Command being timed: "python3 /projects/bgmp/sseale/projects/ps6/ps6.py"
	User time (seconds): 0.75
	System time (seconds): 0.12
	Percent of CPU this job got: 89%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.97
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 50752
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 11589
	Voluntary context switches: 389
	Involuntary context switches: 2
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
