spencerseale 09:56 $ ps6-spencerseale ./ps6.py
# of contigs: 366
max contig length: 46012
mean contig length: 2362.155737704918
genome length: 864549
This is the mean kmer depth of coverage: 392.8630475874315
This is the mean depth of coverage: 443.98995030805094
N50: 6818
# Contig length	Number of contigs in this category
200 	 73
300 	 48
400 	 20
500 	 18
600 	 17
700 	 16
800 	 10
900 	 11
1000 	 2
1100 	 10
1200 	 7
1300 	 5
1400 	 2
1500 	 9
1600 	 1
1700 	 1
1800 	 3
1900 	 3
2000 	 3
2100 	 3
2200 	 6
2300 	 2
2400 	 1
2500 	 3
2600 	 1
2700 	 5
2800 	 2
2900 	 4
3000 	 2
3100 	 1
3200 	 2
3300 	 3
3400 	 2
3500 	 3
3600 	 2
3700 	 2
3800 	 1
3900 	 3
4000 	 1
4200 	 2
4300 	 2
4400 	 1
4500 	 1
4600 	 2
4800 	 2
4900 	 2
5000 	 2
5100 	 3
5200 	 1
5400 	 2
5700 	 1
6100 	 1
6200 	 1
6500 	 1
6800 	 5
7000 	 1
7300 	 1
7700 	 2
7900 	 2
8400 	 1
8600 	 1
9100 	 1
9200 	 1
9300 	 1
9800 	 1
10600 	 1
10900 	 2
11400 	 1
12200 	 1
13700 	 1
14200 	 1
14300 	 1
14400 	 1
15100 	 1
16800 	 1
18300 	 1
20100 	 1
22500 	 1
22600 	 1
26000 	 1
46000 	 1
